data_hora,item,tipo,quantidade
2026-01-01 20:40:00,SKU-35,Entrada,16
2026-01-01 00:18:00,SKU-7,Saída,7
2026-01-01 03:02:00,SKU-31,Saída,17
2026-01-01 20:52:00,SKU-26,Saída,9
2026-01-01 01:02:00,SKU-6,Saída,23
2026-01-01 10:42:00,SKU-2,Entrada,42
2026-01-01 22:38:00,SKU-19,Saída,10
2026-01-01 06:49:00,SKU-32,Saída,17
2026-01-01 12:57:00,SKU-8,Entrada,11
2026-01-01 09:51:00,SKU-9,Saída,44
2026-01-01 13:47:00,SKU-25,Entrada,9
2026-01-01 23:28:00,SKU-17,Saída,18
2026-01-01 22:31:00,SKU-2,Saída,20
2026-01-01 00:24:00,SKU-4,Entrada,24
2026-01-01 06:06:00,SKU-36,Saída,19
2026-01-01 14:24:00,SKU-36,Entrada,73
2026-01-01 02:24:00,SKU-14,Entrada,15
2026-01-01 13:52:00,SKU-11,Saída,12
2026-01-01 18:30:00,SKU-1,Entrada,15
2026-01-01 00:09:00,SKU-7,Entrada,18
2026-01-01 10:50:00,SKU-31,Entrada,53
2026-01-01 23:32:00,SKU-33,Entrada,5
2026-01-01 19:00:00,SKU-37,Entrada,12
2026-01-01 05:56:00,SKU-6,Entrada,19
2026-01-01 03:51:00,SKU-9,Entrada,21
2026-01-01 04:18:00,SKU-40,Saída,21
2026-01-01 06:01:00,SKU-12,Saída,19
2026-01-01 23:21:00,SKU-9,Entrada,8
2026-01-01 16:32:00,SKU-4,Saída,68
2026-01-01 13:50:00,SKU-1,Entrada,25
2026-01-01 15:54:00,SKU-17,Entrada,38
2026-01-01 17:01:00,SKU-14,Entrada,35
2026-01-01 12:16:00,SKU-6,Entrada,11
2026-01-01 17:58:00,SKU-29,Entrada,31
2026-01-01 13:55:00,SKU-28,Saída,23
2026-01-01 21:51:00,SKU-8,Entrada,12
2026-01-01 02:11:00,SKU-4,Saída,5
2026-01-01 10:59:00,SKU-25,Entrada,26
2026-01-01 16:44:00,SKU-30,Saída,75
2026-01-01 06:53:00,SKU-17,Saída,24
2026-01-01 02:50:00,SKU-32,Entrada,21
2026-01-01 18:01:00,SKU-23,Entrada,5
2026-01-01 17:31:00,SKU-37,Saída,69
2026-01-01 03:43:00,SKU-11,Saída,6
2026-01-01 20:17:00,SKU-4,Entrada,5
2026-01-01 04:16:00,SKU-20,Saída,21
2026-01-01 01:43:00,SKU-2,Saída,7
2026-01-01 10:44:00,SKU-3,Entrada,59
2026-01-01 13:11:00,SKU-31,Entrada,20
2026-01-01 09:18:00,SKU-26,Saída,31
2026-01-01 07:11:00,SKU-28,Saída,17
2026-01-01 16:40:00,SKU-37,Saída,75
2026-01-01 19:45:00,SKU-35,Saída,6
2026-01-01 14:54:00,SKU-30,Saída,61
2026-01-01 14:40:00,SKU-34,Saída,71
2026-01-01 15:02:00,SKU-10,Saída,59
2026-01-01 17:58:00,SKU-32,Entrada,41
2026-01-01 08:21:00,SKU-38,Saída,7
2026-01-01 18:34:00,SKU-31,Entrada,19
2026-01-01 14:38:00,SKU-6,Entrada,74
2026-01-01 16:21:00,SKU-24,Entrada,56
2026-01-01 01:10:00,SKU-32,Saída,15
2026-01-01 22:06:00,SKU-32,Entrada,9
2026-01-01 01:14:00,SKU-9,Entrada,9
2026-01-01 01:18:00,SKU-21,Entrada,6
2026-01-01 11:32:00,SKU-34,Entrada,57
2026-01-01 01:15:00,SKU-12,Entrada,15
2026-01-01 18:09:00,SKU-11,Saída,17
2026-01-01 14:49:00,SKU-37,Entrada,37
2026-01-01 00:53:00,SKU-9,Entrada,23
2026-01-01 10:18:00,SKU-26,Saída,36
2026-01-01 10:37:00,SKU-8,Saída,37
2026-01-01 10:17:00,SKU-5,Saída,20
2026-01-01 18:36:00,SKU-33,Saída,6
2026-01-01 10:17:00,SKU-11,Saída,28
2026-01-01 07:11:00,SKU-13,Entrada,16
2026-01-01 14:33:00,SKU-7,Entrada,68
2026-01-01 18:18:00,SKU-16,Entrada,20
2026-01-01 09:30:00,SKU-2,Saída,36
2026-01-01 18:47:00,SKU-3,Entrada,16
2026-01-01 10:09:00,SKU-4,Entrada,25
2026-01-01 15:54:00,SKU-19,Entrada,65
2026-01-01 01:52:00,SKU-31,Entrada,16
2026-01-01 02:46:00,SKU-21,Saída,7
2026-01-01 10:41:00,SKU-34,Entrada,43
2026-01-01 02:05:00,SKU-10,Entrada,13
2026-01-01 14:45:00,SKU-23,Saída,71
2026-01-01 22:33:00,SKU-23,Entrada,12
2026-01-01 14:54:00,SKU-16,Entrada,78
2026-01-01 21:29:00,SKU-15,Entrada,5
2026-01-01 07:53:00,SKU-15,Saída,18
2026-01-01 12:55:00,SKU-21,Saída,24
2026-01-01 15:13:00,SKU-1,Entrada,57
2026-01-01 11:00:00,SKU-22,Entrada,27
2026-01-01 18:43:00,SKU-29,Entrada,14
2026-01-01 19:38:00,SKU-9,Entrada,18
2026-01-01 18:31:00,SKU-30,Saída,7
2026-01-01 14:18:00,SKU-31,Saída,64
2026-01-01 10:20:00,SKU-6,Entrada,23
2026-01-01 05:55:00,SKU-21,Entrada,21
2026-01-01 13:51:00,SKU-23,Entrada,20
2026-01-01 05:56:00,SKU-6,Saída,5
2026-01-01 13:09:00,SKU-15,Entrada,9
2026-01-01 14:11:00,SKU-35,Entrada,48
2026-01-01 20:06:00,SKU-26,Entrada,21
2026-01-01 18:33:00,SKU-24,Saída,11
2026-01-01 09:30:00,SKU-35,Entrada,50
2026-01-01 03:20:00,SKU-5,Saída,17
2026-01-01 15:07:00,SKU-39,Entrada,73
2026-01-01 18:45:00,SKU-11,Saída,12
2026-01-01 17:01:00,SKU-2,Saída,33
2026-01-01 16:55:00,SKU-22,Saída,67
2026-01-01 20:52:00,SKU-3,Saída,25
2026-01-01 06:40:00,SKU-21,Entrada,22
2026-01-01 02:00:00,SKU-29,Saída,21
2026-01-01 15:12:00,SKU-17,Entrada,58
2026-01-01 16:55:00,SKU-37,Entrada,41
2026-01-01 09:44:00,SKU-39,Saída,55
2026-01-01 06:56:00,SKU-22,Saída,14
2026-01-01 21:52:00,SKU-10,Saída,25
2026-01-01 01:05:00,SKU-36,Saída,6
2026-01-01 23:44:00,SKU-21,Entrada,8
2026-01-01 12:19:00,SKU-28,Saída,20
2026-01-01 04:38:00,SKU-38,Entrada,11
2026-01-01 07:54:00,SKU-29,Entrada,7
2026-01-01 07:51:00,SKU-20,Saída,19
2026-01-01 08:52:00,SKU-17,Saída,15
2026-01-01 20:23:00,SKU-32,Saída,25
2026-01-01 06:35:00,SKU-1,Entrada,7
2026-01-01 04:25:00,SKU-19,Saída,20
2026-01-01 21:31:00,SKU-11,Entrada,24
2026-01-01 13:10:00,SKU-28,Saída,5
2026-01-01 23:20:00,SKU-36,Saída,21
2026-01-01 14:38:00,SKU-16,Entrada,38
2026-01-01 18:44:00,SKU-35,Saída,7
2026-01-01 04:27:00,SKU-20,Saída,16
2026-01-01 21:33:00,SKU-9,Saída,20
2026-01-01 22:10:00,SKU-32,Entrada,18
2026-01-01 20:33:00,SKU-12,Saída,14
2026-01-01 06:23:00,SKU-8,Entrada,9
2026-01-01 11:42:00,SKU-9,Entrada,52
2026-01-01 21:45:00,SKU-21,Entrada,19
2026-01-01 19:24:00,SKU-34,Entrada,23
2026-01-01 16:23:00,SKU-15,Entrada,62
2026-01-01 06:17:00,SKU-28,Saída,16
2026-01-01 07:32:00,SKU-14,Entrada,18
2026-01-01 00:01:00,SKU-22,Saída,25
2026-01-01 06:10:00,SKU-28,Entrada,10
2026-01-01 10:47:00,SKU-8,Saída,58
2026-01-01 04:42:00,SKU-39,Saída,5
2026-01-01 20:30:00,SKU-25,Saída,12
2026-01-01 06:28:00,SKU-29,Saída,8
2026-01-01 01:07:00,SKU-35,Saída,17
2026-01-01 07:42:00,SKU-31,Entrada,11
2026-01-01 23:16:00,SKU-21,Entrada,14
2026-01-01 16:39:00,SKU-38,Saída,66
2026-01-01 19:20:00,SKU-12,Saída,14
2026-01-01 18:01:00,SKU-9,Saída,6
2026-01-01 22:44:00,SKU-17,Saída,12
2026-01-01 15:13:00,SKU-10,Entrada,67
2026-01-01 17:59:00,SKU-1,Saída,48
2026-01-01 02:56:00,SKU-18,Saída,18
2026-01-01 16:51:00,SKU-1,Saída,54
2026-01-01 07:21:00,SKU-12,Entrada,6
2026-01-01 15:25:00,SKU-9,Saída,54
2026-01-01 01:50:00,SKU-5,Saída,19
2026-01-01 05:06:00,SKU-25,Entrada,14
2026-01-01 21:48:00,SKU-22,Entrada,15
2026-01-01 23:57:00,SKU-5,Entrada,5
2026-01-01 18:54:00,SKU-33,Saída,11
2026-01-01 06:40:00,SKU-39,Entrada,20
2026-01-01 13:49:00,SKU-29,Saída,8
2026-01-01 14:03:00,SKU-8,Saída,70
2026-01-01 11:09:00,SKU-35,Saída,27
2026-01-01 19:33:00,SKU-11,Entrada,18
2026-01-01 19:12:00,SKU-9,Saída,13
2026-01-01 09:23:00,SKU-16,Saída,55
2026-01-01 07:43:00,SKU-38,Saída,10
2026-01-01 13:08:00,SKU-23,Saída,6
2026-01-01 17:16:00,SKU-35,Entrada,30
2026-01-01 06:34:00,SKU-33,Saída,11
2026-01-01 15:42:00,SKU-38,Entrada,41
2026-01-01 07:00:00,SKU-21,Entrada,7
2026-01-01 15:34:00,SKU-30,Saída,34
2026-01-01 16:24:00,SKU-31,Saída,30
2026-01-01 21:21:00,SKU-10,Saída,23
2026-01-01 04:05:00,SKU-29,Entrada,10
